,CODE_ARCHIVO,Latitud,Longitud,DPTO,MUNICIPIO,VARIEDAD,SIST_SIMPLE,FECHA_SIEMBRA,FECHA_EMERGENCIA,FECHA_COSECHA,ANO_COS,RENDIMIENTO_HA,ID,Cluster
749,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,6/19/2015,,10/23/2015,2015,3156.25,RC79_2015_455,2
750,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,6/19/2015,,10/23/2015,2015,5625,RC79_2015_454,2
751,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,6/20/2015,,10/24/2015,2015,3156.25,RC79_2015_456,2
752,RC,NA,NA,CASANARE,YOPAL,F68,Secano,6/23/2015,,10/27/2015,2015,3062.5,RC79_2015_506,2
753,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,6/25/2015,,10/29/2015,2015,3532.5,RC79_2015_462,2
754,RC,NA,NA,CASANARE,YOPAL,F68,Riego,9/16/2015,,1/20/2016,2016,6875,RC79_2016_532,6
755,RC,NA,NA,CASANARE,YOPAL,F68,Riego,9/18/2015,,1/22/2016,2016,4949,RC79_2016_547,6
756,RC,NA,NA,CASANARE,YOPAL,F68,Riego,9/26/2015,,1/30/2016,2016,3565,RC79_2016_546,6
757,RC,NA,NA,CASANARE,YOPAL,F68,Riego,9/26/2015,,1/30/2016,2016,4047,RC79_2016_545,6
758,RC,NA,NA,CASANARE,YOPAL,F68,Riego,9/28/2015,,2/1/2016,2016,4195,RC79_2016_544,6
759,RC,NA,NA,CASANARE,YOPAL,F733,SECANO,5/7/2015,,9/10/2015,2015,4506.875,RC79_2015_259,2
760,RC,NA,NA,CASANARE,YOPAL,F733,SECANO,5/15/2015,,9/18/2015,2015,4861.5625,RC79_2015_308,2
761,RC,NA,NA,CASANARE,YOPAL,F733,SECANO,5/29/2015,,10/2/2015,2015,4441.875,RC79_2015_400,2
762,RC,NA,NA,CASANARE,YOPAL,F733,SECANO,6/28/2015,,11/1/2015,2015,5453.75,RC79_2015_467,2
763,RC,NA,NA,CASANARE,YOPAL,F733,SECANO,7/8/2015,,11/11/2015,2015,2740,RC79_2015_475,2
764,RC,NA,NA,CASANARE,YOPAL,ORYZICA 1,SECANO,5/17/2015,,9/20/2015,2015,6875,RC79_2015_317,2
765,RC,NA,NA,CASANARE,YOPAL,PAYARA,SECANO,5/22/2015,,9/25/2015,2015,2500,RC79_2015_367,2
766,RC,NA,NA,CASANARE,YOPAL,SD 20A,SECANO,5/22/2015,,9/25/2015,2015,2500,RC79_2015_368,2
767,RC,NA,NA,CASANARE,YOPAL,SEMILLA HUILA SH01,SECANO,5/19/2015,,9/22/2015,2015,6125,RC79_2015_342,2
768,RC,NA,NA,CASANARE,YOPAL,TAILANDIA ORO,Riego,9/28/2015,,2/1/2016,2016,5937.5,RC79_2016_520,6
769,RC,NA,NA,CASANARE,YOPAL,VICTORIA,SECANO,6/11/2015,,10/15/2015,2015,5750,RC79_2015_440,2
